cohort,prep,fold,method,ba,f1
PD-252,standard,3,A4 families+G+MMD+E,0.7675438596491229,0.76
PD-252,standard,3,A3 + record stack,0.7543859649122806,0.7401247401247402
PD-252,standard,3,A2 + record stack,0.7543859649122806,0.7401247401247402
PD-252,standard,3,A3 families+G+MMD [bag8],0.8092105263157895,0.7920997920997921
PD-252,standard,3,A3 + record stack [bag8],0.7828947368421053,0.751984126984127
PD-252,standard,3,paper fused w=0.5 [bag8],0.7521929824561404,0.766899766899767
PD-252,standard,3,RBF (mean+std) [BA-thr],0.6885964912280702,0.6493688639551193
PD-252,standard,3,A3 families+G+MMD [BA-thr],0.7390350877192983,0.745906267645398
PD-252,standard,3,A3 + record stack [BA-thr],0.7521929824561404,0.766899766899767
PD-252,standard,4,RBF (mean+std),0.817047817047817,0.8015873015873016
PD-252,standard,4,paper fused w=0.5,0.8575883575883576,0.8666666666666667
PD-252,standard,4,record-level -> mean,0.8669438669438669,0.8161764705882353
PD-252,standard,4,A1 families,0.893970893970894,0.8571428571428572
PD-252,standard,4,A2 families+G,0.893970893970894,0.8571428571428572
PD-252,standard,4,A3 families+G+MMD,0.893970893970894,0.8571428571428572
PD-252,standard,4,A4 families+G+MMD+E,0.893970893970894,0.8571428571428572
PD-252,standard,4,A3 + record stack,0.8669438669438669,0.8161764705882353
PD-252,standard,4,A2 + record stack,0.8669438669438669,0.8161764705882353
PD-252,standard,4,A3 families+G+MMD [bag8],0.893970893970894,0.8571428571428572
PD-252,standard,4,A3 + record stack [bag8],0.8804573804573805,0.836372136512389
PD-252,standard,4,paper fused w=0.5 [bag8],0.8825363825363826,0.8731608320649416
PD-252,standard,4,RBF (mean+std) [BA-thr],0.817047817047817,0.8015873015873016
PD-252,standard,4,A3 families+G+MMD [BA-thr],0.6912681912681913,0.5757575757575757
PD-252,standard,4,A3 + record stack [BA-thr],0.7297297297297297,0.5974235104669887
PD-252,standard,5,RBF (mean+std),0.7422037422037422,0.7668997668997669
PD-252,standard,5,paper fused w=0.5,0.7172557172557172,0.75
PD-252,standard,5,record-level -> mean,0.7650727650727651,0.751984126984127
PD-252,standard,5,A1 families,0.7806652806652807,0.8023715415019763
PD-252,standard,5,A2 families+G,0.7806652806652807,0.8023715415019763
PD-252,standard,5,A3 families+G+MMD,0.7806652806652807,0.8023715415019763
PD-252,standard,5,A4 families+G+MMD+E,0.7806652806652807,0.8023715415019763
PD-252,standard,5,A3 + record stack,0.7536382536382537,0.76
PD-252,standard,5,A2 + record stack,0.7536382536382537,0.76
PD-252,standard,5,A3 families+G+MMD [bag8],0.7785862785862786,0.7716894977168949
PD-252,standard,5,A3 + record stack [bag8],0.7785862785862786,0.7716894977168949
PD-252,standard,5,paper fused w=0.5 [bag8],0.7806652806652807,0.8023715415019763
PD-252,standard,5,RBF (mean+std) [BA-thr],0.738045738045738,0.7142857142857142
