cohort,partition_seed,weight,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
PD-252,10,0.5,Adaptive_Subspace_Fusion,0.7677280519385782,0.017102798855749706,0.7777898773091398,0.01965064431438428
PD-252,10,0.5,Fused_Grassmann_GSMOTE,0.7395420724368094,0.04077211797573158,0.7370103801726284,0.035129787512372175
PD-252,10,0.0,Adaptive_Subspace_Fusion,0.7547014625961993,0.022608599853134674,0.7627538165612451,0.023733648105473012
PD-252,10,0.0,Fused_Grassmann_GSMOTE,0.7313737826895721,0.05007147085128059,0.7160808607599767,0.04261028395339816
PD-252,10,1.0,Fused_Grassmann_GSMOTE,0.7247045628624574,0.04494763458837202,0.7327318498345553,0.04511545213657541
PD-252,10,1.0,Adaptive_Subspace_Fusion,0.6215194952037058,0.04937031498280409,0.6083543369335693,0.045006060231854064
PD-252,11,0.0,Adaptive_Subspace_Fusion,0.7457271036218405,0.014872310445297514,0.7541261428539118,0.015512127607656976
PD-252,11,0.0,Fused_Grassmann_GSMOTE,0.7279589305905096,0.018962978043532037,0.7227484334539129,0.01896817858526773
PD-252,11,0.5,Fused_Grassmann_GSMOTE,0.7357706897180581,0.032233261797096575,0.739983116509383,0.03303384635041478
PD-252,11,0.5,Adaptive_Subspace_Fusion,0.7357478936426305,0.012522617395481089,0.7489694968396124,0.014897419209616798
PD-252,11,1.0,Fused_Grassmann_GSMOTE,0.7074679943100995,0.013408505875501913,0.7252162311372837,0.01627170172799048
PD-252,11,1.0,Adaptive_Subspace_Fusion,0.6219653864390706,0.03991690691566583,0.6102551609269489,0.03301910383772729
PD-252,12,0.0,Adaptive_Subspace_Fusion,0.7861117190064558,0.03316746073056759,0.7862095943126203,0.029761122907981604
PD-252,12,0.0,Fused_Grassmann_GSMOTE,0.7554437028121239,0.043369108120065086,0.7499220173933645,0.04463751171605596
PD-252,12,0.5,Adaptive_Subspace_Fusion,0.7960681329102381,0.03358036832465593,0.8031696110906636,0.03194645853391906
PD-252,12,0.5,Fused_Grassmann_GSMOTE,0.758622387569756,0.02858545713044116,0.7648087149826279,0.0317479923822218
PD-252,12,1.0,Fused_Grassmann_GSMOTE,0.7137241492504651,0.03465062493138307,0.7326991363179063,0.03914887629314385
PD-252,12,1.0,Adaptive_Subspace_Fusion,0.6202365320786374,0.041961465673705234,0.6218511488511489,0.04626646412362973
PD-252,13,0.0,Fused_Grassmann_GSMOTE,0.7644299157457052,0.022648759875373226,0.7503483674536306,0.021720642130997673
PD-252,13,0.0,Adaptive_Subspace_Fusion,0.7343463909253384,0.02658764276606291,0.7341084280688485,0.01561219298414403
PD-252,13,0.5,Adaptive_Subspace_Fusion,0.7760094102199366,0.035930576266345875,0.7693701137985107,0.023014694983557703
PD-252,13,0.5,Fused_Grassmann_GSMOTE,0.7308640624430098,0.015687128632334124,0.7303818755794401,0.011331055313860772
PD-252,13,1.0,Fused_Grassmann_GSMOTE,0.7150180544917386,0.014080473549544599,0.7327337695638585,0.01797128608823887
PD-252,13,1.0,Adaptive_Subspace_Fusion,0.6067832002042529,0.03237933168630754,0.5982896431926283,0.030454658281584952
PD-252,14,0.0,Adaptive_Subspace_Fusion,0.8025011853959223,0.023662552215550345,0.7975369819249346,0.02021348322358585
PD-252,14,0.0,Fused_Grassmann_GSMOTE,0.7704125177809388,0.04495469134511766,0.7582904397470951,0.049147323768143535
PD-252,14,0.5,Adaptive_Subspace_Fusion,0.789616843564212,0.023102810224023218,0.7845225866213978,0.024999247922926522
PD-252,14,0.5,Fused_Grassmann_GSMOTE,0.7738647554437028,0.034640456622971855,0.7755350971824682,0.031060350232217877
PD-252,14,1.0,Fused_Grassmann_GSMOTE,0.6938715030820294,0.035103370100225254,0.7043405765993185,0.032533276819172154
PD-252,14,1.0,Adaptive_Subspace_Fusion,0.6707161615056352,0.031010471077785175,0.6590840191912005,0.02440750140246019
PD-252,15,0.0,Adaptive_Subspace_Fusion,0.7813436918700077,0.04102157573352854,0.7780782738665678,0.03197402651188465
